Model - TRUE_SA_B4_DL_DC_ALPH5_NO_MSE,F0,F1,F2,F3,F4,F5,JS
epoch_1.pth,0.28354,0.54181,0.63667,0.68976,0.73007,0.7484,0.167
epoch_3.pth,0.30938,0.57547,0.66973,0.71998,0.75824,0.77641,0.18507
epoch_5.pth,0.30364,0.5668,0.66171,0.71634,0.75811,0.7773,0.18095
epoch_7.pth,0.30996,0.57113,0.66241,0.71426,0.75451,0.77306,0.18543
epoch_9.pth,0.30698,0.56052,0.65092,0.70133,0.74161,0.76052,0.18356
epoch_11.pth,0.3086,0.56561,0.65666,0.70816,0.74913,0.76847,0.18453
epoch_13.pth,0.30934,0.56442,0.65584,0.70612,0.74695,0.76541,0.18508
epoch_15.pth,0.3053,0.56729,0.6606,0.71311,0.75553,0.77505,0.18214
epoch_16.pth,0.30788,0.56727,0.65785,0.70967,0.75263,0.77251,0.18404
epoch_18.pth,0.30159,0.56115,0.65602,0.7091,0.75224,0.77264,0.17961
epoch_20.pth,0.30477,0.56448,0.65843,0.71189,0.75571,0.77486,0.18184
epoch_22.pth,0.30649,0.56631,0.65917,0.71177,0.75513,0.77499,0.18307
epoch_24.pth,0.30662,0.56384,0.65525,0.70814,0.75119,0.76961,0.18318
epoch_26.pth,0.30615,0.56256,0.65366,0.70434,0.74658,0.76518,0.18285
epoch_28.pth,0.30268,0.56041,0.65252,0.70655,0.75047,0.77023,0.18042
epoch_30.pth,0.30199,0.55978,0.65334,0.70719,0.75058,0.7689,0.17991