Model - TRUE_SA_WID_MSE_DL_ALPH5_B4_NUM2_GAMMA_NOT02_DC,F0,F1,F2,F3,F4,F5,JS
epoch_1.pth,0.0071884,0.013425,0.017479,0.021446,0.026377,0.030736,0.0039788
epoch_3.pth,0.24605,0.46953,0.56134,0.6197,0.66977,0.69141,0.14163
epoch_5.pth,0.21892,0.41424,0.49679,0.54902,0.59575,0.61787,0.12397
epoch_7.pth,0.25211,0.46879,0.55837,0.61375,0.65974,0.68161,0.14518
epoch_9.pth,0.26364,0.49436,0.58662,0.64224,0.68856,0.71117,0.15305
epoch_11.pth,0.20894,0.40782,0.4908,0.54175,0.58591,0.60723,0.11752
epoch_13.pth,0.24231,0.45617,0.54571,0.60085,0.64514,0.66464,0.139
epoch_15.pth,0.25174,0.48358,0.58108,0.6417,0.6903,0.71279,0.14549
epoch_16.pth,0.25271,0.48426,0.57682,0.63527,0.68474,0.70765,0.14598
epoch_18.pth,0.24988,0.47665,0.57178,0.63045,0.67875,0.69905,0.14386
epoch_20.pth,0.26934,0.52426,0.62791,0.69157,0.744,0.76765,0.15697
epoch_22.pth,0.23818,0.44098,0.52099,0.5674,0.60485,0.62159,0.13651
epoch_24.pth,0.26385,0.50486,0.60211,0.6616,0.71242,0.7344,0.15339
epoch_26.pth,0.25267,0.48346,0.57776,0.63387,0.6798,0.69957,0.1459
epoch_28.pth,0.27661,0.52557,0.62454,0.68546,0.73621,0.75994,0.16204
epoch_30.pth,0.26252,0.50892,0.61414,0.68085,0.73526,0.75954,0.15235